,Stkcd,year,EX_INDAT_read,AT
901,000633,2018,22.0,1292.0
902,000633,2019,22.0,2629.0
903,000633,2020,10.0,3978.0
904,000635,2016,,
905,000635,2017,,
906,000635,2018,23.0,1117.0
907,000635,2019,16.0,1881.0
908,000635,2020,12.0,2301.0
909,000636,2016,,
910,000636,2017,,
914,000637,2016,,
915,000637,2017,,
916,000637,2018,2.0,698.0
917,000637,2019,2.0,3426.0
918,000637,2020,1.0,3018.0
919,000639,2016,,
920,000639,2017,,
921,000639,2018,1.0,717.0
922,000639,2019,4.0,2413.0
923,000639,2020,9.0,4615.0
924,000650,2016,,
925,000650,2017,,
926,000650,2018,26.0,1693.0
929,000651,2016,,
930,000651,2017,,
934,000652,2016,,
935,000652,2017,,
937,000652,2019,6.0,6498.0
939,000655,2016,,
940,000655,2017,,
941,000655,2018,1.0,555.0
942,000655,2019,0.0,6194.0
943,000655,2020,0.0,3946.0
944,000656,2016,,
945,000656,2017,,
946,000656,2018,19.0,1521.0
947,000656,2019,15.0,3835.0
948,000656,2020,10.0,3550.0
949,000657,2016,,
950,000657,2017,,
951,000657,2018,17.0,789.0
952,000657,2019,12.0,2859.0
953,000657,2020,10.0,1077.0
954,000659,2016,,
955,000659,2017,,
957,000659,2019,4.0,4395.0
958,000659,2020,5.0,1785.0
959,000661,2016,,
960,000661,2017,,
962,000661,2019,17.0,8096.0
964,000662,2016,,
965,000662,2017,,
967,000662,2019,31.0,9802.0
968,000663,2016,,
969,000663,2017,,
970,000663,2018,2.0,472.0
971,000663,2019,0.0,1243.0
972,000663,2020,1.0,2949.0
973,000665,2016,,
974,000665,2017,,
975,000665,2018,3.0,684.0
976,000665,2019,4.0,2806.0
977,000665,2020,3.0,3994.0
978,000667,2016,,
979,000667,2017,,
980,000667,2018,19.0,725.0
981,000667,2019,15.0,2043.0
982,000667,2020,10.0,1571.0
983,000668,2016,,
984,000668,2017,,
985,000668,2018,19.0,524.0
986,000668,2019,15.0,1249.0
987,000668,2020,10.0,809.0
988,000671,2016,,
989,000671,2017,,
990,000671,2018,19.0,716.0
991,000671,2019,15.0,2668.0
992,000671,2020,10.0,2530.0
993,000672,2016,,
994,000672,2017,,
995,000672,2018,10.0,1558.0
996,000672,2019,10.0,9967.0
997,000672,2020,10.0,7089.0
998,000676,2016,,
999,000676,2017,,
1000,000676,2018,13.0,1190.0
1003,000677,2016,,
1004,000677,2017,,
1005,000677,2018,3.0,1244.0
1007,000677,2020,2.0,3822.0
1008,000678,2016,,
1009,000678,2017,,
1010,000678,2018,6.0,488.0
1011,000678,2019,10.0,1162.0
1012,000678,2020,8.0,1938.0
1013,000679,2016,,
1014,000679,2017,,
1015,000679,2018,7.0,528.0
1016,000679,2019,7.0,1766.0
1017,000679,2020,12.0,1425.0
1018,000680,2016,,
1019,000680,2017,,
1020,000680,2018,15.0,534.0
1021,000680,2019,9.0,3288.0
1022,000680,2020,16.0,3325.0
1023,000681,2016,,
1024,000681,2017,,
1025,000681,2018,1.0,576.0
1027,000681,2020,0.0,6318.0
1028,000682,2016,,
1029,000682,2017,,
1030,000682,2018,22.0,353.0
1031,000682,2019,31.0,7556.0
1032,000682,2020,23.0,5313.0
1033,000683,2016,,
1034,000683,2017,,
1035,000683,2018,23.0,1551.0
1036,000683,2019,16.0,8967.0
1037,000683,2020,12.0,9544.0
1038,000685,2016,,
1039,000685,2017,,
1040,000685,2018,0.0,614.0
1041,000685,2019,0.0,2149.0
1042,000685,2020,0.0,1909.0
1043,000688,2016,,
1044,000688,2017,,
1045,000688,2018,10.0,517.0
1046,000688,2019,7.0,927.0
1047,000688,2020,4.0,11439.0
1048,000690,2016,,
1049,000690,2017,,
1050,000690,2018,5.0,642.0
1051,000690,2019,7.0,2107.0
1052,000690,2020,5.0,1823.0
1053,000691,2016,,
1054,000691,2017,,
1055,000691,2018,19.0,1589.0
1056,000691,2019,15.0,1941.0
1057,000691,2020,12.0,2050.0
1058,000692,2016,,
1059,000692,2017,,
1060,000692,2018,5.0,437.0
1061,000692,2019,7.0,924.0
1062,000692,2020,5.0,2004.0
1063,000693,2016,,
1064,000693,2017,,
1065,000695,2016,,
1066,000695,2017,,
1067,000695,2018,5.0,357.0
1068,000695,2019,0.0,733.0
1069,000695,2020,0.0,679.0
1070,000697,2016,,
1071,000697,2017,,
1073,000697,2019,6.0,7796.0
1074,000697,2020,7.0,6171.0
1075,000698,2016,,
1076,000698,2017,,
1077,000698,2018,2.0,492.0
1078,000698,2019,2.0,2810.0
1080,000700,2016,,
1081,000700,2017,,
