,Stkcd,Time,ROA_TTM
732,000581,2019-12-31,0.102685
733,000581,2020-12-31,0.110029
734,000582,2016-12-31,0.039011
735,000582,2017-12-31,0.046933
736,000582,2018-12-31,0.047473
737,000582,2019-12-31,0.060678
738,000582,2020-12-31,0.062758
739,000584,2016-12-31,-0.193166
740,000584,2017-12-31,0.038992
741,000584,2018-12-31,0.029217
742,000584,2019-12-31,0.010701
743,000584,2020-12-31,0.001951
744,000586,2016-12-31,0.007013
745,000586,2017-12-31,0.001702
746,000586,2018-12-31,-0.00322
747,000586,2019-12-31,0.009576
748,000586,2020-12-31,0.040822
749,000589,2016-12-31,0.001367
750,000589,2017-12-31,-0.022011
751,000589,2018-12-31,0.008731
752,000589,2019-12-31,0.012898
753,000589,2020-12-31,0.103322
754,000590,2016-12-31,0.082272
755,000590,2017-12-31,0.013169
756,000590,2018-12-31,-0.045175
757,000590,2019-12-31,0.051033
758,000590,2020-12-31,0.026134
759,000591,2016-12-31,0.025849
760,000591,2017-12-31,0.026441
761,000591,2018-12-31,0.026012
762,000591,2019-12-31,0.025263
763,000591,2020-12-31,0.026614
764,000592,2016-12-31,0.001342
765,000592,2017-12-31,-0.001614
766,000592,2018-12-31,0.007264
767,000592,2019-12-31,0.004224
768,000592,2020-12-31,-0.065439
769,000593,2016-12-31,-0.043589
770,000593,2017-12-31,0.016221
771,000593,2018-12-31,-0.110957
772,000593,2019-12-31,0.024031
773,000593,2020-12-31,0.020638
774,000595,2016-12-31,-0.070077
775,000595,2017-12-31,0.018077
776,000595,2018-12-31,-0.052389
777,000595,2019-12-31,-0.193267
778,000595,2020-12-31,0.008654
779,000596,2016-12-31,0.106828
780,000596,2017-12-31,0.125494
781,000596,2018-12-31,0.153636
782,000596,2019-12-31,0.163586
783,000596,2020-12-31,0.127187
784,000597,2016-12-31,0.002851
785,000597,2017-12-31,0.009033
786,000597,2018-12-31,0.01805
787,000597,2019-12-31,0.014052
788,000597,2020-12-31,0.000877
789,000598,2016-12-31,0.056023
790,000598,2017-12-31,0.051362
791,000598,2018-12-31,0.050847
792,000598,2019-12-31,0.047581
793,000598,2020-12-31,0.047073
794,000599,2016-12-31,0.011848
795,000599,2017-12-31,0.013048
796,000599,2018-12-31,0.00333
797,000599,2019-12-31,-0.033058
798,000599,2020-12-31,-0.007246
799,000600,2016-12-31,0.070621
800,000600,2017-12-31,0.010341
801,000600,2018-12-31,0.020999
802,000600,2019-12-31,0.027879
803,000600,2020-12-31,0.03644
804,000601,2016-12-31,0.053425
805,000601,2017-12-31,0.050942
806,000601,2018-12-31,0.03303
807,000601,2019-12-31,0.038151
808,000601,2020-12-31,0.018385
